Sample #	FP2_COP_X	FP2_COP:Y	FP2_COP:Z	FP2_Ref_X	FP2_Ref_Y	FP2_Ref_Z	FP2_Force_X	FP2_Force_Y	FP2_Force_Z	FP2_Moment_X	FP2_Moment_Y	FP2_Moment_Z	FP4_COP_X	FP4_COP:Y	FP4_COP:Z	FP4_Ref_X	FP4_Ref_Y	FP4_Ref_Z	FP4_Force_X	FP4_Force_Y	FP4_Force_Z	FP4_Moment_X	FP4_Moment_Y	FP4_Moment_Z
369	149.044490	-295.111148	-0.164063	202.900341	-304.364990	-0.079583	-16.567705	7.076446	269.827020	2494.779591	14534.077297	1628.401946	-125.731401	-266.970541	-0.099151	-199.669022	-305.422272	-0.130892	16.396241	-2.092374	339.059817	13038.787510	-25069.456829	-2927.212174
370	147.874869	-294.001445	-0.166344	202.900341	-304.364990	-0.079583	-16.924358	7.340110	270.534614	2801.605778	14888.668270	1610.082206	-125.915419	-265.801358	-0.099644	-199.669022	-305.422272	-0.130892	16.219373	-1.916262	337.995444	13393.033247	-24928.576219	-2927.045910
371	148.976922	-293.655541	-0.164879	202.900341	-304.364990	-0.079583	-16.303902	7.343104	270.181407	2891.374307	14571.406711	1628.972188	-126.146980	-266.548182	-0.099539	-199.669022	-305.422272	-0.130892	15.777577	-2.182828	337.640530	13126.805637	-24824.219310	-2890.068287
372	149.255681	-295.147436	-0.163732	202.900341	-304.364990	-0.079583	-16.481173	7.165797	270.889484	2494.807196	14534.068150	1609.801261	-125.551594	-266.537403	-0.099185	-199.669022	-305.422272	-0.130892	16.131072	-2.181600	338.704951	13171.848645	-25104.128273	-2927.121050
373	148.561433	-293.599776	-0.165523	202.900341	-304.364990	-0.079583	-16.479375	7.429878	268.764629	2891.166293	14606.715198	1647.555733	-125.578312	-266.103871	-0.099343	-199.669022	-305.422272	-0.130892	15.953559	-1.916806	338.350021	13304.747000	-25068.802116	-2945.638635
374	148.726985	-293.685536	-0.165235	202.900341	-304.364990	-0.079583	-16.834063	6.898860	270.889091	2890.888268	14677.292294	1591.717811	-125.783748	-266.659200	-0.099285	-199.669022	-305.422272	-0.130892	15.865055	-2.270361	339.769030	13171.826360	-25104.116105	-2889.949672
375	149.249859	-294.008331	-0.164300	202.900341	-304.364990	-0.079583	-16.834966	7.075610	270.889003	2803.437602	14535.636429	1591.657686	-126.145294	-266.579370	-0.099528	-199.669022	-305.422272	-0.130892	16.218296	-1.739014	339.059595	13171.402714	-24929.120788	-2908.592908
376	149.376853	-293.356746	-0.164432	202.900341	-304.364990	-0.079583	-16.656036	6.723015	270.889442	2979.686894	14501.323118	1777.944417	-126.245149	-267.131301	-0.099407	-199.669022	-305.422272	-0.130892	16.219862	-2.711499	340.478829	13038.647015	-24999.471396	-2982.992993
377	148.847953	-293.982521	-0.164910	202.900341	-304.364990	-0.079583	-16.304805	7.519855	270.181319	2802.993960	14606.264504	1647.425096	-126.607882	-266.661248	-0.099778	-199.669022	-305.422272	-0.130892	16.219189	-2.269482	339.769242	13171.219829	-24824.157849	-3038.728237
378	148.018608	-292.751107	-0.166746	202.900341	-304.364990	-0.079583	-16.653187	6.986748	268.056336	3111.083813	14713.743502	1629.228267	-125.578312	-266.103871	-0.099343	-199.669022	-305.422272	-0.130892	15.777151	-2.182596	338.350003	13304.735857	-25068.796032	-2927.052946
379	147.687365	-293.725095	-0.166759	202.900341	-304.364990	-0.079583	-16.212113	7.430713	267.702646	2846.095077	14783.028640	1703.204447	-127.069201	-266.482408	-0.100113	-199.669022	-305.422272	-0.130892	16.040377	-1.738990	340.478403	13259.474341	-24718.853189	-2815.680450
380	148.665892	-293.375108	-0.165478	202.900341	-304.364990	-0.079583	-15.948523	6.815186	271.244573	2978.852797	14713.058313	1610.431626	-125.630115	-266.185890	-0.099347	-199.669022	-305.422272	-0.130892	16.130200	-1.916134	339.059600	13304.845104	-25103.810042	-2964.212814
381	148.541570	-294.513389	-0.165103	202.900341	-304.364990	-0.079583	-16.390427	6.636172	271.244005	2669.904428	14746.838042	1721.561607	-126.451060	-267.001635	-0.099573	-199.669022	-305.422272	-0.130892	15.952283	-1.916110	340.478408	13082.794255	-24929.365399	-2982.989474
382	148.541570	-294.513389	-0.165103	202.900341	-304.364990	-0.079583	-16.306382	7.520378	271.243695	2670.042458	14746.792305	1628.557451	-126.015092	-266.520130	-0.099469	-199.669022	-305.422272	-0.130892	16.128917	-1.827104	340.833222	13260.497768	-25103.908008	-2927.067974
383	148.206576	-293.850931	-0.165926	202.900341	-304.364990	-0.079583	-17.099295	6.809127	270.888742	2845.776606	14818.380553	1796.190606	-126.674711	-267.408292	-0.099574	-199.669022	-305.422272	-0.130892	15.862262	-1.915517	342.961479	13038.689406	-25034.448902	-2908.637995
384	149.079566	-293.916553	-0.164598	202.900341	-304.364990	-0.079583	-16.660019	6.989012	272.659907	2846.774373	14677.076094	1610.253299	-126.117790	-266.520385	-0.099530	-199.669022	-305.422272	-0.130892	15.775663	-2.181783	340.833126	13260.399664	-25068.900081	-2908.493795
385	149.077913	-293.593207	-0.164760	202.900341	-304.364990	-0.079583	-16.485156	7.431793	272.659948	2935.001918	14677.508493	1573.182445	-126.448793	-266.771388	-0.099647	-199.669022	-305.422272	-0.130892	15.686051	-2.004755	341.897223	13215.995866	-25034.014464	-2927.117534
386	149.125684	-293.225136	-0.164870	202.900341	-304.364990	-0.079583	-16.747908	7.164787	271.597341	3023.480616	14607.372947	1610.549833	-126.270580	-266.601197	-0.099595	-199.669022	-305.422272	-0.130892	15.597731	-2.005091	341.542434	13260.410807	-25068.906165	-2927.079484
